Black Web-fotted Salamander
Atoyac Salamander
Tapantí Giant Salamander
Southern Banana Salamander
O'Donnell's Salamander
Todos Santos Salamander
Culata Mushroomtongue
Amazon Mushroomtongue Salamander
Pandi Mushroomtongue Salamander
Peru Mushroomtongue Salamander
Medellin Mushroomtongue Salamander
Broad-footed Salamander
Pygmy Web-footed Salamander
Ramos' Mushroomtongue Salamander
Rilett's Mushroomtongue Salamander
Robinson’s Web-footed Salamander
Ringtail Salamander
Salamandra Narigona
Northern Banana Salamander
Salvin's Mushroomtongue Salamander
Savage's Mushroomtongue Salamander
Cocle Mushroomtongue Salamander
Silverstone's Mushroomtongue Salamander
Shadowy Web-footed Salamander
Cordillera Talamanca Salamander
Splendid Web-footed Salamander
Cukra Mushroomtongue Salamander
Stuart's Mushroomtongue Salamander
La Palma Salamander
Tamá Salamander
Cerro Cituro Salamander
Guatemalan Black Salamander
Tico Salamander
Yarmal Mushroomtongue Salamander
Veracruz Salamander
Walker's Mushroomtongue Salamander
Yariguíes Salamander
Yucatan Salamander
Zacapa Salamander
Zapotec Salamander
Fire-bellied Toad
Guangxi Firebelly Toad
Lichuan Bell Toad
Yunnan Firebelly Toad
Small-webbed Firebelly Toad
Oriental Bell Toad
Appenine Yellow-bellied Toad
Yellow–bellied Toad
White-lipped Bright-eyed Frog
Spotted Bright-eyed Frog
Böhme's Bright-eyed Frog
Boppa’s Bright-eyed Treefrog
Nosy Be Bright-eyed Frog
Forest Bright-eyed Frog
Goudot's Bright-eyed Frog
Warty Bright-eyed Frog
Ida's Bright-eyed Frog
Jaeger's Bright-eyed Frog
Andinrgitra Bright-eyed Frog
Ankafana Bright-eyed Frog
Madagascar Bright-eyed Frog
Ambohimitombo Bright-eyed Frog
Mandraka Bright-eyed Frog
Imerina Bright-eyed Frog
Tiny Bright-eyed Frog
Eastern Bright-eyed Frog
Moramanga Bright-eyed Frog
Central Bright-eyed Frog
Reticulate Bright-eyed Frog
Betsileo Bright-eyed Frog
Dumeril's Bright-eyed Frog
Green Bright-eyed Frog
Williams' Bright-eyed Frog
Usambara Bluish-grey Caecilian
Changamwensis African Caecilian
Lamu Caecilian
Sagalla Caecilian
Spawls Caecilian
Taita Hills Caecilian
Uluguru Pink Caecilian
Flea-frog
Pumpkin Toadlet
Finca Chiblac Salamander
Brazilian Caecilian
Common Rain Frog
Bilbo's Rain Frog
Branch's Rain Frog
Black Rain Frog
Cape Rain Frog
Desert Rain Frog
Mountain Rain Frog
Mozambique Rain Frog
Namaqua Rain Frog
Power’s Rain Frog
Rose’s Rain Frog
Whistling Rain Frog
Northern Forest Rain Frog
Rough Rain Frog
Bromeliad Treefrog
Greater Bromeliad Treefrog
Ranita de Bromelia Pequeña
Cusco Andes Frog
Kajika Frog
Yaeyama Kajika Frog
Japanese Stream Treefrog
太田溪树蛙
Red-headed Flying Frog
Brown Treefrog
Ailao Toad
Spineless Stream Toad
Bankor Toad
Common Toad
Earless Toad
Eichwald's Toad
Asiatic Toad
Japanese Common Toad
Luchun Stream Toad
Menglian Stream Toad
Water toad
Japanese Stream Toad
圆疣蟾蜍
疣棘溪蟾
Colchic Toad
Mawblang Toad
African Green Toad
Vertebral-banded Toad
Lorestan Toad
Eastern Persian toad
Luristan Toad
Varying Toad
European Green Toad
Zamda Toad
